Company;Year;Type
LafargeHolcim;2017;AR-FR
Lonza;2014;AR-EN
Lonza;2015;AR-EN
Lonza;2016;AR-EN
Lonza;2017;AR-EN
Mobiliar;2000;AR-DE
Mobiliar;2000;AR-EN
Mobiliar;2001;AR-DE
Mobiliar;2001;AR-EN
Mobiliar;2002;AR-DE
Mobiliar;2002;AR-EN
Mobiliar;2003;AR-DE
Mobiliar;2004;AR-DE
Mobiliar;2005;AR-DE
Mobiliar;2006;AR-DE
Mobiliar;2007;AR-DE
Mobiliar;2008;AR-DE
Mobiliar;2009;AR-DE
Mobiliar;2010;AR-DE
Mobiliar;2011;AR-DE
Mobiliar;2012;AR-DE
Mobiliar;2013;AR-DE
Mobiliar;2014;AR-DE
Mobiliar;2015;AR-DE
Mobiliar;2016;AR-DE
Mobiliar;2017;AR-DE
Nestlé;2017;CG-EN
Nestlé;2017;FR-EN
Nestlé;2017;RV-EN
Nestlé;2017;SR-EN
Novartis;2004;AR-DE
Novartis;2004;AR-EN
Novartis;2004;AR-FR
Novartis;2005;AR-DE
Novartis;2005;AR-EN
Novartis;2005;AR-FR
Novartis;2006;AR-DE
Novartis;2006;AR-EN
Novartis;2006;AR-FR
Novartis;2007;AR-DE
Novartis;2007;AR-EN
Novartis;2007;AR-FR
Novartis;2010;AR-DE
Novartis;2010;AR-EN
Novartis;2010;AR-FR
Novartis;2011;AR-DE
Novartis;2011;AR-EN
Novartis;2012;AR-DE
Novartis;2012;AR-EN
Novartis;2013;AD-EN
Novartis;2013;AR-DE
Novartis;2013;AR-EN
Novartis;2014;AR-DE
Novartis;2014;AR-EN
Novartis;2015;AR-DE
Novartis;2015;AR-EN
Novartis;2016;AR-DE
Novartis;2016;AR-EN
Novartis;2017;AR-DE
Novartis;2017;AR-EN
Novartis;2018;AR-EN
Partners Group;2006;AR-EN
Partners Group;2007;AR-EN
Partners Group;2008;AR-EN
Partners Group;2009;AR-EN
Partners Group;2010;AR-EN
Partners Group;2011;AR-EN
Partners Group;2012;AR-EN
Partners Group;2013;AR-EN
Partners Group;2014;AR-EN
Partners Group;2015;AR-EN
Partners Group;2016;AR-EN
Partners Group;2016;SR-EN
Partners Group;2017;AR-EN
Partners Group;2018;AR-EN
Partners Group;2018;CG-EN
Partners Group;2018;CR-EN
Partners Group;2018;SR-EN
PSP Swiss Property;2009;AR-DE
