company;language;report_type;year;link
Lonza;EN;AR;2017;"http://annualreport.lonza.com/2017/application/files/7215/2165/3533/AR_2017_Full.pdf"
Lonza;EN;AR;2016;"http://annualreport.lonza.com/2016/download_file/view/96/1"
Lonza;EN;AR;2015;"https://www.lonza.com/~/media/Files/2015-annual-report/AR-2015_Corporate_Overview_download.ashx?la=en"
Lonza;EN;AR;2014;"https://www.lonza.com/~/media/Files/Investor%20Relations/Financial%20Reports/Lonza_AR_2014_Corporate_Overview.ashx?la=en"
